day,activeSessions_site_1_min,activeSessions_site_1_max,activeSessions_site_1_mean,activeSessions_site_2_min,activeSessions_site_2_max,activeSessions_site_2_mean,utilization_rate_1_min,utilization_rate_1_max,utilization_rate_1_mean,utilization_rate_2_min,utilization_rate_2_max,utilization_rate_2_mean,total_drawn_power_1_min,total_drawn_power_1_max,total_drawn_power_1_mean,total_drawn_power_2_min,total_drawn_power_2_max,total_drawn_power_2_mean,idle_rate_1_min,idle_rate_1_max,idle_rate_1_mean,idle_rate_2_min,idle_rate_2_max,idle_rate_2_mean
2018-04-26,0,0,0.0,3,32,15.583333333333334,0.0,0.0,0.0,0.0545454545454545,0.5818181818181818,0.28333333333333327,0.0,0.0,0.0,1.7853846153846151,73.05510537391973,24.58642069789842,0.0,0.0,0.0,0.037037037037037,0.6923076923076923,0.3929027918250352
2018-04-27,0,0,0.0,2,29,12.708333333333334,0.0,0.0,0.0,0.0363636363636363,0.5272727272727272,0.231060606060606,0.0,0.0,0.0,0.8524705002210358,74.03530626747562,22.376795947791575,0.0,0.0,0.0,0.0,0.7272727272727273,0.3952301684054558
2018-04-28,0,0,0.0,5,18,9.333333333333334,0.0,0.0,0.0,0.0909090909090909,0.3272727272727272,0.16969696969696965,0.0,0.0,0.0,8.61732473526954,57.69494978625508,23.609807977055635,0.0,0.0,0.0,0.1,0.6111111111111112,0.27749912124912124
2018-04-29,0,0,0.0,1,12,4.708333333333333,0.0,0.0,0.0,0.0181818181818181,0.2181818181818181,0.08560606060606056,0.0,0.0,0.0,0.0,54.01863728656252,17.457774960841768,0.0,0.0,0.0,0.0,1.0,0.3330537518037518
2018-04-30,0,0,0.0,2,34,13.791666666666666,0.0,0.0,0.0,0.0363636363636363,0.6181818181818182,0.25075757575757573,0.0,0.0,0.0,2.322327402487981,91.99822007885469,24.452938604316543,0.0,0.0,0.0,0.0,0.6666666666666666,0.45173609129301323
2018-05-01,0,0,0.0,4,36,16.125,0.0,0.0,0.0,0.0727272727272727,0.6545454545454545,0.29318181818181815,0.0,0.0,0.0,3.0134578711205844,72.0117339633285,25.470955072359377,0.0,0.0,0.0,0.0555555555555555,0.6896551724137931,0.38708637013990915
2018-05-02,0,0,0.0,5,34,17.166666666666668,0.0,0.0,0.0,0.0909090909090909,0.6181818181818182,0.3121212121212121,0.0,0.0,0.0,4.12936274801485,62.2559667074046,24.769373728549837,0.0,0.0,0.0,0.0333333333333333,0.7391304347826086,0.3222649042926093
2018-05-03,0,0,0.0,6,43,21.416666666666668,0.0,0.0,0.0,0.109090909090909,0.7818181818181819,0.38939393939393935,0.0,0.0,0.0,3.333401387374429,64.30704306865414,31.124920930110466,0.0,0.0,0.0,0.0967741935483871,0.8333333333333334,0.45472794940825056
2018-05-04,0,0,0.0,3,40,18.416666666666668,0.0,0.0,0.0,0.0545454545454545,0.7272727272727273,0.3348484848484848,0.0,0.0,0.0,1.438992057596709,68.32118014703413,30.109932703649765,0.0,0.0,0.0,0.0,0.6666666666666666,0.3663354666837639
2018-05-05,0,0,0.0,8,23,12.041666666666666,0.0,0.0,0.0,0.1454545454545454,0.4181818181818181,0.21893939393939388,0.0,0.0,0.0,10.520647906849092,52.43605886604688,29.365258207435684,0.0,0.0,0.0,0.25,0.5833333333333334,0.404360830737404
2018-05-06,0,0,0.0,2,9,4.875,0.0,0.0,0.0,0.0363636363636363,0.1636363636363636,0.08863636363636358,0.0,0.0,0.0,1.5785884716815273,29.94343819028797,14.48635569104693,0.0,0.0,0.0,0.0,0.6666666666666666,0.2821593915343915
2018-05-07,0,0,0.0,1,40,14.25,0.0,0.0,0.0,0.0181818181818181,0.7272727272727273,0.25909090909090904,0.0,0.0,0.0,1.159575375361896,80.24016513520078,27.314859584668373,0.0,0.0,0.0,0.0,0.5,0.13129458261037208
2018-05-08,0,0,0.0,6,37,20.0,0.0,0.0,0.0,0.109090909090909,0.6727272727272727,0.3636363636363636,0.0,0.0,0.0,2.693475178624744,71.80129953945489,32.24823095810736,0.0,0.0,0.0,0.081081081081081,0.6666666666666666,0.36022497473319737
2018-05-09,0,0,0.0,3,38,18.958333333333332,0.0,0.0,0.0,0.0545454545454545,0.6909090909090909,0.34469696969696967,0.0,0.0,0.0,2.2145276095318094,87.36509850419766,29.426679513459348,0.0,0.0,0.0,0.0769230769230769,0.75,0.45166889259892096
2018-05-10,0,0,0.0,6,36,19.333333333333332,0.0,0.0,0.0,0.109090909090909,0.6545454545454545,0.3515151515151515,0.0,0.0,0.0,1.576476063564974,73.38525625757525,31.664457718915944,0.0,0.0,0.0,0.064516129032258,0.7142857142857143,0.41946911062446907
2018-05-11,0,0,0.0,3,39,19.083333333333332,0.0,0.0,0.0,0.0545454545454545,0.7090909090909091,0.34696969696969693,0.0,0.0,0.0,1.4401858704070218,71.78053894835861,29.0020190096553,0.0,0.0,0.0,0.04,0.75,0.41058082950564906
2018-05-12,0,0,0.0,6,31,11.0,0.0,0.0,0.0,0.109090909090909,0.5636363636363636,0.19999999999999996,0.0,0.0,0.0,3.898314007275784,70.74191495941055,21.46897135384044,0.0,0.0,0.0,0.0588235294117647,0.7096774193548387,0.3823549138243161
2018-05-13,0,0,0.0,5,15,7.25,0.0,0.0,0.0,0.0909090909090909,0.2727272727272727,0.13181818181818178,0.0,0.0,0.0,2.654892405548816,55.712440818259765,20.984308504892635,0.0,0.0,0.0,0.0,0.6666666666666666,0.246019721019721
